"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","objective","km1","cut","failed"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",2,64,0.03,64,0.0299946,37.6009,"km1",4687093,4655078,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",3,64,0.03,64,0.0299946,35.2908,"km1",4686098,4653141,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",4,64,0.03,64,0.0299946,36.8686,"km1",4673587,4650331,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",5,64,0.03,64,0.0299946,41.8092,"km1",4676950,4657988,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",1,8,0.03,64,0.0299989,20.5688,"km1",1789218,1785403,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",2,8,0.03,64,0.0299989,11.7507,"km1",1842923,1837933,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",3,8,0.03,64,0.0299989,14.7115,"km1",1809152,1804703,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",4,8,0.03,64,0.0299989,13.9222,"km1",1901495,1897414,"no"
"Mt-KaHyPar Fast","circuit5M.mtx.hgr","no",5,8,0.03,64,0.0299989,13.487,"km1",1823877,1818511,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",1,16,0.03,64,0.0198544,1.98966,"km1",146859,143961,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",2,16,0.03,64,0.0205669,2.14375,"km1",143403,140588,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",3,16,0.03,64,0.0224018,2.12116,"km1",142843,140125,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",4,16,0.03,64,0.012824,2.08475,"km1",146418,143634,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",5,16,0.03,64,0.0220993,2.03623,"km1",144703,142070,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",1,2,0.03,64,0.0186245,1.24861,"km1",26377,26377,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",2,2,0.03,64,0.00291365,1.24555,"km1",26612,26612,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",3,2,0.03,64,0.0079865,1.204,"km1",25968,25968,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",4,2,0.03,64,0,1.24015,"km1",26605,26605,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",5,2,0.03,64,0.0132181,1.22718,"km1",26554,26554,"no"
"Mt-KaHyPar Fast","CurlCurl_4.mtx.hgr","no",1,64,0.03,64,0.028901,3.73941,"km1",287989,277247,"no"
