"algorithm","graph","timeout","seed","k","epsilon","num_threads","imbalance","totalPartitionTime","preprocessing_time","coarsening_time","initial_partitioning_time","batch_uncontraction_time","label_propagation_time","fm_time","objective","km1","cut","failed"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",3,16,0.03,16,0.0290759,17.6989,0.763133,2.22421,0.565205,2.36883,1.1189,7.57218,"km1",138731,136234,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",4,16,0.03,16,0.0269587,18.1406,0.771914,2.18299,0.553254,2.36276,1.16507,8.06914,"km1",138549,136036,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",5,16,0.03,16,0.0273082,18.0493,0.773261,2.17052,0.553815,2.3668,1.26364,7.98281,"km1",139458,137084,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",1,2,0.03,16,0.012725,8.09762,0.783608,2.31068,0.0376691,2.4564,0.276171,1.01888,"km1",28299,28299,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",2,2,0.03,16,0.0201889,7.98239,0.76732,2.31363,0.0361633,2.46852,0.237713,0.915611,"km1",25461,25461,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",3,2,0.03,16,0.0201452,8.05873,0.77036,2.32258,0.0346633,2.44874,0.239392,0.901248,"km1",26291,26291,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",4,2,0.03,16,0.0154378,7.82564,0.763045,2.29375,0.0407278,2.44319,0.233186,0.855793,"km1",25735,25735,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",5,2,0.03,16,0.0171576,8.06887,0.769348,2.31395,0.0362771,2.43763,0.230258,0.908028,"km1",25733,25733,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",1,64,0.03,16,0.0299226,42.7468,0.759896,2.10138,2.27024,2.38308,2.35519,24.9361,"km1",281881,271482,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",2,64,0.03,16,0.0299495,42.4657,0.767817,2.08963,2.33503,2.35236,2.21573,24.698,"km1",282429,271961,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",3,64,0.03,16,0.0299495,42.8272,0.7816,2.10624,2.29738,2.37187,2.38772,24.954,"km1",282657,272065,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",4,64,0.03,16,0.0299226,43.1309,0.762475,2.07699,2.39347,2.35238,2.27841,25.204,"km1",282604,272170,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",5,64,0.03,16,0.0299763,42.1785,0.764461,2.09319,2.35482,2.40629,2.41218,24.2216,"km1",283113,272720,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",1,8,0.03,16,0.0286727,12.4727,0.768273,2.22072,0.277641,2.35604,0.794148,4.06904,"km1",86516,85587,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",2,8,0.03,16,0.0236889,12.6727,0.774572,2.20793,0.290166,2.40931,0.828823,4.1406,"km1",89355,88409,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",3,8,0.03,16,0.0266093,12.5137,0.755361,2.19647,0.265595,2.37864,0.813546,4.12503,"km1",85229,84302,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",4,8,0.03,16,0.0242434,12.8449,0.762555,2.24874,0.288194,2.38423,0.834306,4.34415,"km1",89874,88962,"no"
"Mt-KaHyPar-Q","CurlCurl_4.mtx.hgr","no",5,8,0.03,16,0.0235411,13.0191,0.760066,2.22279,0.288281,2.39671,0.878206,4.37025,"km1",90779,89662,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",1,16,0.03,16,0.0298159,7.12001,0.295375,0.607819,0.779255,0.658408,0.387367,2.40743,"km1",16293,15853,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",2,16,0.03,16,0.0280017,7.06336,0.294792,0.594478,0.79533,0.732712,0.425885,2.38496,"km1",15992,15529,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",3,16,0.03,16,0.0280857,7.61534,0.299865,0.590341,0.798224,0.701823,0.445859,2.96962,"km1",15501,15149,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",4,16,0.03,16,0.0280857,7.11802,0.300599,0.603898,0.757536,0.674359,0.432344,2.65793,"km1",16233,15879,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",5,16,0.03,16,0.0292784,6.94148,0.300371,0.579124,0.763456,0.725019,0.440787,2.47467,"km1",16314,15723,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",1,2,0.03,16,0.0299903,3.34006,0.292967,0.81155,0.0598412,1.475,0.0625588,0.146661,"km1",1370,1370,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",2,2,0.03,16,0.0052724,3.39,0.287435,0.816017,0.0672326,1.51832,0.0672484,0.163848,"km1",2108,2108,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",3,2,0.03,16,0.0299882,3.56324,0.294125,0.844423,0.0593836,1.54629,0.0725816,0.192812,"km1",1412,1412,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",4,2,0.03,16,0.029373,3.37672,0.283925,0.822674,0.0554043,1.51036,0.0637725,0.160989,"km1",1396,1396,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",5,2,0.03,16,0.0286885,3.55915,0.297644,0.847806,0.0576714,1.61092,0.0701878,0.17912,"km1",1461,1461,"no"
"Mt-KaHyPar-Q","dac2012_superblue11.hgr","no",1,64,0.03,16,0.0270779,19.3595,0.292078,0.519994,2.15379,0.455478,0.853212,9.80034,"km1",46959,44264,"no"
