graph,k,epsilon,num_threads,min_km1,avg_km1,min_cut,avg_cut,min_imbalance,avg_imbalance,min_total_time,avg_total_time,avg_time,timeout,failed,infeasible,invalid,instance,algo
dac2012_superblue19.hgr,16,0.03,64,15012,15081.3333333333,14127,14353.3333333333,0.0280194,0.0292749,0.971833,1.053551,1.053551,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue19.hgr,16,0.03,64,14950,14950,14271,14271,0.0299486,0.0299486,3.77895,3.77895,3.77895,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue19.hgr,64,0.03,64,32742,33319.25,28938,29761.5,0.0293974,0.029642325,1.66686,1.7701625,1.7701625,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue19.hgr,64,0.03,64,31534,31534,28222,28222,0.0295198,0.0295198,7.84739,7.84739,7.84739,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue2.hgr,2,0.03,64,3255,3704.75,3255,3704.75,0,0.0085363775,0.649067,0.6822745,0.6822745,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue2.hgr,2,0.03,64,3817,3817,3817,3817,0,0,2.82334,2.82334,2.82334,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue2.hgr,8,0.03,64,14630,15309.75,14173,14812.75,0.0185682,0.0214188,1.02808,1.09181,1.09181,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue2.hgr,8,0.03,64,15952,15952,15526,15526,0.0261856,0.0261856,4.57306,4.57306,4.57306,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue2.hgr,16,0.03,64,27219,27951.5,26211,26943.5,0.0269692,0.0290636,1.41249,1.4602425,1.4602425,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue2.hgr,16,0.03,64,27219,27219,26257,26257,0.029994,0.029994,5.77204,5.77204,5.77204,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue2.hgr,64,0.03,64,61665,63117.8,56785,58091.4,0.027871,0.02950528,2.22072,2.26864,2.26864,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue2.hgr,64,0.03,64,61080,61080,56389,56389,0.0296446,0.0296446,12.7676,12.7676,12.7676,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue3.hgr,2,0.03,64,1679,1863,1679,1863,0.018524,0.021725725,0.600685,0.63365225,0.63365225,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue3.hgr,2,0.03,64,1690,1690,1690,1690,0.0218924,0.0218924,2.39298,2.39298,2.39298,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue3.hgr,8,0.03,64,14796,15379.25,13878,14763.5,0.0223717,0.02438275,1.28032,1.33342,1.33342,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
dac2012_superblue3.hgr,8,0.03,64,14979,14979,14095,14095,0.026738,0.026738,4.95929,4.95929,4.95929,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Strong 64
dac2012_superblue3.hgr,16,0.03,64,23478,24344.75,20857,21114.25,0.022328,0.0241625,1.56244,1.6833025,1.6833025,FALSE,FALSE,FALSE,FALSE,1,Mt-KaHyPar Fast 64
